Genre,Poem
Music,"A woman walks by the bench I’m sitting onwith her dog that looks part Lab, part Buick,stops and asks if I would like to dance.I smile, tell her of course I do. We decideon a waltz that she begins to hum."
Music,"Because I am a boy, the untouchability of beautyis my subject already, the book of statuesopen in my lap, the middle of October, leavesfoiling the wet groundin soft copper. “A statuemust be beautifulfrom all sides,” Cellini wrote in 1558.When I close the book,the bodies touch. In the west,they are tying"
Music,"Because today we did not leave this world,We now embody a prominence within it,Even amidst its indifference to our actions,Whether they be noiseless or not.After all, nonsense is its own type of silence,Lasting as long as the snow on yourTongue. You wonder why each eveningMust be filled with a turning"
Music,"Big Bend has been here, been here. Shouldn’t it have a say?Call the mountains a wall if you must, (the river has never been a wall),leavened air soaking equally into all, could this be the homewe ache for? Silent light bathing cliff faces, dunes alteringin darkness, stones speaking low to"
Music,"I put shells there, along the lip of the road.Bivalves from last summer’s dinners. dog eatsa charred rock.                          I have begun practicing                          to eat     "
Music,"I thought I would write a novelabout the window with its shadowset in the two-story house.Cézanne stands at the sunchoke hedge,alone and licking a brushamong the tree’s traces of changing shade.The woman—I named herand almost saw her—could beflapping a pillowcase at the shutteras though fanning a firethat takes the frame"
Music,"I was afraid the past would catch up with me,would find this new house too like the scarredold childhood home. But it hasn’t yet. A treecasts soft and gentle shade over our green yard.I feel forgiven all the sins I didn’t commitfor long minutes at a time. What were they?I"
Music,"Let us enter this again. In the context of this paragraph,we are hurtling backward through space, toward a smallopening: I press my hand to your lip and you bite. You bitemy spine. Ben his jawline was stellar. Ben his curlicue.His cellphone iPhone. His and everyone’s iPhone, in my hand,on my"
Music,"More than the fuchsia funnels breaking outof the crabapple tree, more than the neighbor’salmost obscene display of cherry limbs shovingtheir cotton candy-colored blossoms to the slatesky of Spring rains, it’s the greening of the treesthat really gets to me. When all the shock of whiteand taffy, the world’s baubles and"
Music,"No strawberry moon for me, tonight. No strawberry moon. This small house creaks when I walk and open it. I have to weigh it, to goddess or not tonight. Goddess or godless. God is in my sleeping children’s presence tonight. I use words like god when I haven’t seen the"
Music,Somewhere someone risesfar earlier than you beforethe faintest glimmer bluesthe darkest dark wakenswithout alarm without bodyroused by the nightingalesneighbor friend or strangerwho hasn't seen his sunlitchildren faces a cold sinkoh caffeinated sleepwalkermarch daily industry withnecessity down one flightthen up two is heaven insomeone warm beside you
Music,"When I mention the ravages of now, I mean to say, then.I mean to say the rough-hewn edges of time and space,a continuum that folds back on itself in furtive attemptsto witness what was, what is, and what will be. But what"
Death," Remember how we took those separate flights imagining the worst: our plane gone down, our children young, alone? I’d leave an hour before you, wait to meet you at your gate, or you’d go first, arrive and rent a car, then meet me at the exit. In between, blue emptiness, our lives suspended where clouds stacked themselves"
Death," Since the phlox are dying and the daisies with their bright bodies have shattered in the wind,I go out among these last dancers, cutting to the ground the withered asters, the spent stalks of the lilies, the black rose,and see them as they were in spring, the time of eagerness and blossoms, knowing how they will"
Death," Time to call out the skirling ghosts, to count like beads on an abacus, your disappointments.This day began with my order Do Not Resuscitate accepted crisply over the phone.Now I also move toward elegy, ask your forgiveness"
Death,"Behind disinfected curtains,beyond touch of sunrise devouring the terrible gold of leaves, a man could be his own eternal night. City "
Death,"I love it, I love it; and who shall dareTo chide me for loving that old arm-chair?I’ve treasured it long as a sainted prize,I’ve bedew’d it with tears, and embalmed it with sighs;’Tis bound by a thousand bands to my heart;Not a tie will break, not a link will start.Would"
Death,"If only each line of a poem could be its true beginning. If only each moment could know every other moment and we could hold them all at once the way we wish to, the way we keep imagining we can. I don’t care what anyone says about the impossibility, for I step into the"
Death,"Listen, children: Your father is dead. From his old coats I'll make you little jackets; I'll make you little trousers From his old pants. There'll be in his pockets Things he used to put there, Keys and pennies Covered with tobacco; Dan shall have the pennies To save in his bank; Anne shall have the keys To make a pretty noise with. Life must"
Death,"My words are dust. I who would build a star, I who would touch the heel of the white sun; Staggering up the inaccessible sky, I look upon the dust.The stainless clouds go mounting In shining spires; And a little heap of dust Are my desires.Yet, dwelling long upon these peaks Unchained upon the flickering western sky, I have"
Death,"Shiitake, velvet foot, hen of the woods, woodear, cloud ear, slippery jack, brown wreathsof Polish borowik dried and hangingin the stalls of a Krakow market—all thesewere years away from the room where I layonce, studying the contours of your sexas if it were some subterranean speciesI’d"
Death,"Somewhere in Nicaragua or Guatemala, it doesn’t matter, his wings ache from so much wax, so much discordin his father’s voice, how oncehe fled the wards of the state through air & sky; so simple and so exact he fell from the clouds, yet no one cared; not the hospitals, not the impoverished nor"
Death,"The deer is still alive in the roadside grass. In an hour, we'll cut her open,her left hip broken, the bonein her dark body; now the white Camaroshocked in the night and the boywet-faced in the back seat,his parents at a lossby the hood, too youngto"
Death,"The widower in silk pajamas slides his hand along a glossy blue sleeve,thinking, Water to fabric, rivulet slipped through a needle’s eye.He’s all ripples when he moves, all waves breaking against flesh.He read in the paper the human body is 80 percent water. He is almosta brook when he wanders around the yard, practically a"
Death,The words we use to instill a sense of the ineffable Carry us on a journey that’s mysterious As if your car makes a sudden left turn and accelerates A child in the road leaps into her mother’s embrace A deer becomes a child and you hit the brakes The panjandrum in the driver’s seat
